# wave A(l)/A(V) unc
1.12990e+00 3.21320e-01 1.60660e-02
1.13516e+00 3.18650e-01 1.59325e-02
1.14044e+00 3.16012e-01 1.58006e-02
1.14575e+00 3.13405e-01 1.56702e-02
1.15108e+00 3.10827e-01 1.55414e-02
1.15644e+00 3.08279e-01 1.54139e-02
1.16182e+00 3.05759e-01 1.52879e-02
1.16723e+00 3.03266e-01 1.51633e-02
1.17266e+00 3.00799e-01 1.50400e-02
1.17812e+00 2.98358e-01 1.49179e-02
1.18360e+00 2.95941e-01 1.47970e-02
1.18911e+00 2.93547e-01 1.46773e-02
1.19464e+00 2.91174e-01 1.45587e-02
1.20020e+00 2.88823e-01 1.44411e-02
1.20579e+00 2.86491e-01 1.43246e-02
1.21140e+00 2.84178e-01 1.42089e-02
1.21704e+00 2.81882e-01 1.40941e-02
1.22270e+00 2.79602e-01 1.39801e-02
1.22839e+00 2.77335e-01 1.38668e-02
1.23411e+00 2.75082e-01 1.37541e-02
1.23985e+00 2.72841e-01 1.36420e-02
1.24562e+00 2.70611e-01 1.35305e-02
1.25142e+00 2.68390e-01 1.34195e-02
1.25725e+00 2.66182e-01 1.33091e-02
1.26310e+00 2.63984e-01 1.31992e-02
1.26898e+00 2.61797e-01 1.30898e-02
1.27488e+00 2.59622e-01 1.29811e-02
1.28082e+00 2.57457e-01 1.28729e-02
1.28678e+00 2.55305e-01 1.27652e-02
1.29277e+00 2.53164e-01 1.26582e-02
1.29878e+00 2.51035e-01 1.25518e-02
1.30483e+00 2.48918e-01 1.24459e-02
1.31090e+00 2.46813e-01 1.23407e-02
1.31700e+00 2.44720e-01 1.22360e-02
1.32313e+00 2.42640e-01 1.21320e-02
1.32929e+00 2.40571e-01 1.20286e-02
1.33548e+00 2.38516e-01 1.19258e-02
1.34169e+00 2.36473e-01 1.18236e-02
1.34794e+00 2.34442e-01 1.17221e-02
1.35421e+00 2.32425e-01 1.16212e-02
1.36051e+00 2.30420e-01 1.15210e-02
1.36684e+00 2.28429e-01 1.14215e-02
1.37321e+00 2.26451e-01 1.13225e-02
1.37960e+00 2.24486e-01 1.12243e-02
1.38602e+00 2.22534e-01 1.11267e-02
1.39247e+00 2.20597e-01 1.10298e-02
1.39895e+00 2.18672e-01 1.09336e-02
1.40546e+00 2.16762e-01 1.08381e-02
1.41200e+00 2.14865e-01 1.07432e-02
1.41857e+00 2.12982e-01 1.06491e-02
1.42517e+00 2.11113e-01 1.05557e-02
1.43181e+00 2.09259e-01 1.04629e-02
1.43847e+00 2.07418e-01 1.03709e-02
1.44517e+00 2.05592e-01 1.02796e-02
1.45189e+00 2.03781e-01 1.01890e-02
1.45865e+00 2.01983e-01 1.00992e-02
